open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore,
1.71735E+12,3792.07,3796.06,3790.12,3790.12,4941.168,1.71735E+12,18745942.31,13833,2671.533,10136020.51,0,
1.71735E+12,3790.13,3795.38,3789.54,3793.66,3779.293,1.71735E+12,14336151.03,13084,1875.168,7113729.742,0,
1.71735E+12,3793.66,3794.23,3780,3784.03,18298.633,1.71735E+12,69253910.91,25732,7017.13,26557030.08,0,
1.71735E+12,3784.02,3784.13,3774.43,3779.8,23475.173,1.71735E+12,88693438.98,35530,12144.016,45884979.63,0,
1.71735E+12,3779.8,3782.93,3774.41,3781.29,10215.568,1.71735E+12,38599068.29,22757,5830.938,22034580.4,0,
1.71735E+12,3781.29,3785.18,3774.05,3774.46,9726.49,1.71735E+12,36752613.48,20104,5258.696,19872278.66,0,
1.71735E+12,3774.45,3774.46,3753.8,3768.86,71342.571,1.71735E+12,268475431.4,84012,33792.717,127169204.3,0,
1.71735E+12,3768.86,3772.61,3762.37,3768.56,17574.67,1.71735E+12,66220113.2,32573,8127.532,30627487.54,0,
1.71735E+12,3768.56,3776.72,3766.43,3776.72,10766.773,1.71735E+12,40626527.39,26402,7343.692,27712389.83,0,
1.71735E+12,3776.72,3776.72,3770.36,3773.58,4351.218,1.71735E+12,16419053.98,15165,2314.534,8733411.144,0,
1.71735E+12,3773.58,3776.8,3770.01,3773,6992.73,1.71736E+12,26385594.33,18091,3710.597,14001623.14,0,
1.71736E+12,3773,3773,3761.66,3767.68,18551.784,1.71736E+12,69881479.47,29689,7255.45,27328066.08,0,
1.71736E+12,3767.69,3779.98,3766.82,3779.98,8463.361,1.71736E+12,31948412.7,17375,5491.918,20731176.94,0,
1.71736E+12,3779.97,3786,3779.31,3784,11251.309,1.71736E+12,42561131.16,17115,6593.014,24938501.91,0,
1.71736E+12,3784,3787.52,3777.53,3777.91,13743.967,1.71736E+12,51985957.67,19783,6222.969,23544735.86,0,
1.71736E+12,3777.91,3779,3769.14,3776.72,11182.801,1.71736E+12,42204395.81,20233,6297.448,23765658.42,0,
1.71736E+12,3776.73,3783.95,3776.12,3783.73,7560.198,1.71736E+12,28584831.77,11553,5527.581,20900671.78,0,
1.71736E+12,3783.73,3789.5,3781.33,3789.5,7031.567,1.71736E+12,26616478.79,13672,4494.95,17013472.66,0,
1.71736E+12,3789.5,3795,3787.08,3795,11065.2,1.71736E+12,41945342.56,19903,7380.983,27979923.1,0,
1.71736E+12,3795,3795.97,3788.9,3791.48,7782.2,1.71736E+12,29525577.74,14788,3393.017,12874450.65,0,
1.71736E+12,3791.49,3791.8,3785.82,3789.78,5329.796,1.71736E+12,20189234.75,13604,1608.246,6091824.962,0,
1.71736E+12,3789.78,3790.09,3784.19,3785.43,4105.865,1.71737E+12,15547344.21,10639,1392.132,5271357.613,0,
1.71737E+12,3785.44,3792.4,3784.79,3790.29,7583.768,1.71737E+12,28737645.26,17156,3938.909,14925026.05,0,
1.71737E+12,3790.29,3794.19,3788.14,3793.64,8770.657,1.71737E+12,33250177.5,15999,4395.675,16665245.31,0,
1.71737E+12,3793.64,3799.8,3790,3790.1,11652.2,1.71737E+12,44216766.61,25539,5057.5,19198093.28,0,
1.71737E+12,3790.09,3790.99,3777.33,3784.24,15043.125,1.71737E+12,56905057.83,27376,5637.515,21323842.53,0,
1.71737E+12,3784.24,3789.97,3784.06,3786.46,8616.528,1.71737E+12,32632630.22,19999,4424.882,16757884.55,0,
1.71737E+12,3786.47,3788.71,3783.32,3787.09,2849.276,1.71737E+12,10787351.97,10737,1218.003,4611389.188,0,
1.71737E+12,3787.1,3788.7,3783.39,3785.93,6694.648,1.71737E+12,25344582.16,13132,4512.106,17082968.69,0,
1.71737E+12,3785.93,3793.28,3783.28,3783.98,21692.799,1.71737E+12,82160427.87,33029,13845.805,52445268.93,0,
1.71737E+12,3783.98,3785,3778.2,3785,13160.725,1.71737E+12,49763473.73,21509,7352.194,27801255.09,0,
1.71737E+12,3784.99,3785.89,3769.7,3772,13316.411,1.71737E+12,50271572.94,26794,4973.364,18775499.49,0,
1.71737E+12,3772,3773.58,3763,3766.62,15104.949,1.71738E+12,56911515.89,27024,7342.497,27667170.16,0,
1.71738E+12,3766.62,3780,3765.12,3775.99,12645.441,1.71738E+12,47724882.39,22999,7258.964,27390937.94,0,
1.71738E+12,3775.99,3798.95,3774.29,3789.43,25709.473,1.71738E+12,97376222.27,37823,15673.799,59354000.58,0,
1.71738E+12,3789.43,3805,3787.76,3797.6,30829.869,1.71738E+12,117098425.9,42284,15706.479,59667907.18,0,
1.71738E+12,3797.6,3805.58,3793.09,3795.3,18095.066,1.71738E+12,68777931.64,31344,7950.726,30224383.61,0,
1.71738E+12,3795.31,3809,3794.21,3806.49,21734.181,1.71738E+12,82671858.18,33740,10976.418,41752587.26,0,
1.71738E+12,3806.49,3814.4,3806.49,3813.1,23534.121,1.71738E+12,89674217.51,37205,12538.793,47778187.83,0,
1.71738E+12,3813.1,3824.82,3812.63,3818,27939.03,1.71738E+12,106702413.8,44267,14887.771,56857183.75,0,
1.71738E+12,3818,3818.77,3808,3812,20285.294,1.71738E+12,77326862,31771,7739.875,29502552.42,0,
1.71738E+12,3811.99,3815.49,3809.17,3810.97,7734.367,1.71738E+12,29486021.75,18232,3998.956,15244956.38,0,
1.71738E+12,3810.98,3812.63,3793.62,3800,27025.653,1.71738E+12,102689607.9,41154,10796.553,41021815.46,0,
1.71738E+12,3799.99,3803.4,3797,3797.69,9347.892,1.71739E+12,35521913.89,18161,4196.516,15947513.61,0,
1.71739E+12,3797.68,3805.32,3797.68,3800.69,9750.753,1.71739E+12,37068010.83,17124,5376.782,20441981.88,0,
1.71739E+12,3800.68,3807.48,3800.21,3802.13,6844.168,1.71739E+12,26036792.73,16876,3312.94,12603355.75,0,
1.71739E+12,3802.13,3805,3799.55,3805,7843.926,1.71739E+12,29825337.7,16616,4351.347,16544825.64,0,
1.71739E+12,3805,3808.43,3797.33,3797.86,8661.376,1.71739E+12,32941342.13,20736,3854.385,14659652.43,0,
1.71739E+12,3797.87,3811.98,3797.86,3808.6,11646.769,1.71739E+12,44353650.09,22620,6587.683,25085853.1,0,
